Divergence,Full DFE,lnL,Delta lnL,p-value,Sd,Sd_est,b,b_est,Sb,Sb_est,pa,pa_est,product,product_est
+,+,-204.9,160.05,0.00,-1000,-864.1,0.2,0.202,10,11.850,0.01,0.00801,0.1,0.095
+,-,-364.9,-,-,-1000,"-6,663.2",0.2,0.135,10,-,0.01,-,-,-
-,+,-193.4,17.57,0.00,-1000,-827.7,0.2,0.206,10,7.995,0.01,0.01019,0.1,0.081
-,-,-211.0,-,-,-1000,"-1,553.4",0.2,0.174,10,-,0.01,-,-,-
+,+,-201.6,173.09,0.00,-1000,-982.3,0.2,0.198,20,16.307,0.005,0.00583,0.1,0.095
+,-,-374.7,-,-,-1000,"-8,314.1",0.2,0.133,20,-,0.005,-,-,-
-,+,-191.6,13.41,0.00,-1000,"-1,182.9",0.2,0.189,20,37.427,0.005,0.00292,0.1,0.109
-,-,-205.0,-,-,-1000,"-1,617.7",0.2,0.175,20,-,0.005,-,-,-
+,+,-200.4,214.56,0.00,-1000,"-1,045.7",0.2,0.195,50,37.425,0.002,0.00256,0.1,0.096
+,-,-414.9,-,-,-1000,"-7,369.5",0.2,0.136,50,-,0.002,-,-,-
-,+,-189.2,4.89,0.01,-1000,"-1,025.7",0.2,0.195,50,64.141,0.002,0.00168,0.1,0.108
-,-,-194.1,-,-,-1000,"-1,240.1",0.2,0.186,50,-,0.002,-,-,-
+,+,-222.3,197.07,0.00,-1000,"-1,649.5",0.2,0.175,100,37.393,0.001,0.00218,0.1,0.082
+,-,-419.4,-,-,-1000,"-5,778.8",0.2,0.138,100,-,0.001,-,-,-
-,+,-190.3,-0.04,N/A,-1000,-964.5,0.2,0.193,100,0.505,0.001,0.00394,0.1,0.002
-,-,-190.2,-,-,-1000,-998.0,0.2,0.190,100,-,0.001,-,-,-
+,+,-210.7,207.84,0.00,-1000,"-1,224.6",0.2,0.191,200,37.423,0.0005,0.0025,0.1,0.094
+,-,-418.6,-,-,-1000,"-7,285.3",0.2,0.137,200,-,0.0005,-,-,-
-,+,-190.3,0.14,0.87,-1000,"-1,053.6",0.2,0.198,200,0.841,0.0005,0.0072,0.1,0.006
-,-,-190.4,-,-,-1000,"-1,148.9",0.2,0.191,200,-,0.0005,-,-,-
+,+,-200.1,210.14,0.00,-1000,-678.7,0.2,0.214,400,37.429,0.00025,0.00262,0.1,0.098
+,-,-410.2,-,-,-1000,"-4,194.3",0.2,0.147,400,-,0.00025,-,-,-
-,+,-187.5,1.42,0.24,-1000,-749.7,0.2,0.208,400,33.663,0.00025,0.0013,0.1,0.044
-,-,-188.9,-,-,-1000,-834.6,0.2,0.202,400,-,0.00025,-,-,-
+,+,-207.4,163.86,0.00,-1000,"-1,017.5",0.2,0.195,800,37.428,0.000125,0.00204,0.1,0.076
+,-,-371.3,-,-,-1000,"-3,923.5",0.2,0.148,800,-,0.000125,-,-,-
-,+,-189.6,0.34,0.71,-1000,-805.0,0.2,0.204,800,6.105,0.000125,0.00186,0.1,0.011
-,-,-190.0,-,-,-1000,-879.1,0.2,0.198,800,-,0.000125,-,-,-